Data,Importo,Tipo,Categoria,Sottocategoria,Fonte
05/01/2026,4850.00,ricavo,subscriptions,pro,stripe
12/01/2026,"1.250,50",entrata,services,consulting,manual
18/01/2026,920.00,costo,marketing,ads,bank
25/01/2026,3100.00,uscita,payroll,engineering,bank
02/02/2026,5600.00,ricavo,subscriptions,enterprise,stripe
08/02/2026,740.00,costo,software,saas,manual
14/02/2026,2380.00,ricavo,licenses,annual,bank
20/02/2026,1150.00,costo,office,rent,bank
27/02/2026,460.00,costo,marketing,events,manual
03/03/2026,6200.00,ricavo,subscriptions,pro,stripe
09/03/2026,890.00,costo,cogs,hosting,bank
15/03/2026,1980.00,entrata,services,onboarding,manual
21/03/2026,310.00,costo,travel,flights,manual
28/03/2026,5400.00,ricavo,partnerships,reseller,bank
31/03/2026,2750.00,costo,payroll,sales,bank
32/13/2026,500.00,costo,marketing,ads,manual
10/04/2026,-150.00,costo,office,utilities,bank
15/04/2026,abc,ricavo,subscriptions,starter,stripe
18/04/2026,780.00,bonifico,marketing,content,bank
22/04/2026,640.00,costo,,tooling,manual
